Company_Rating,Salary,Skills,Seniority,Job_type,Salary_Source,Location
4.0,400000,['Machine_Learning'],Junior_Associate,Data_Scientist,Employer,India
4.7,1200000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,Other
5.0,1200000,"['Machine_Learning', 'NLP', 'AI']",Intern,Data_Scientist,Employer,Remote
5.0,62400,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,Chennai
3.9,700000,['SQL'],Intern,Data_Scientist,Employer,Bengaluru
4.1,800000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.1,700000,"['Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,900000,"['Python', 'Machine_Learning']",Intern,Data_Scientist,Employer,India
4.4,800000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Chennai
3.6,700000,"['Python', 'R', 'SQL', 'Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.0,700000,['NLP'],Intern,Data_Scientist,Glassdoor,Chennai
3.9,400000,['Machine_Learning'],Intern,Data_Scientist,Employer,India
4.6,1300000,"['Machine_Learning', 'NLP', 'AI']",Intern,Data_Scientist,Employer,Noida
3.7,700000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Analyst,Glassdoor,Bengaluru
4.1,800000,['Statistics'],Intern,Data_Scientist,Glassdoor,Chennai
3.9,3500000,"['Python', 'SQL']",Intern,ML_Engineer,Employer,Remote
3.8,600000,['Statistics'],Intern,Data_Scientist,Glassdoor,Gurgaon
3.5,400000,"['Machine_Learning', 'Python', 'SQL']",Junior_Associate,Data_Scientist,Glassdoor,Noida
3.8,600000,"['Statistics', 'Machine_Learning', 'AI']",Intern,Data_Scientist,Glassdoor,Gurgaon
2.9,700000,"['Machine_Learning', 'Deep_Learning', 'AI']",Junior_Associate,Data_Scientist,Glassdoor,Hyderabad
3.1,500000,['Data_Analysis'],Intern,Data_Scientist,Glassdoor,Bengaluru
3.8,1000000,"['Python', 'R', 'Machine_Learning', 'Cloud_Platforms']",Intern,Data_Scientist,Employer,Chennai
3.9,800000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.1,800000,['Statistics'],Intern,Data_Scientist,Glassdoor,Other
2.8,5000000,"['Machine_Learning', 'NLP']",Senior,Data_Scientist,Employer,Bengaluru
1.0,400000,"['TensorFlow', 'Machine_Learning', 'Deep_Learning', 'NLP', 'AI']",Junior_Associate,Data_Scientist,Glassdoor,Other
4.2,800000,"['Data_Analysis', 'Statistics']",Intern,Data_Scientist,Glassdoor,Pune
3.9,900000,"['Python', 'R', 'TensorFlow', 'PyTorch', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.2,600000,['Machine_Learning'],Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,500000,"['Data_Analysis', 'NLP']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.2,700000,['Data_Analysis'],Intern,Data_Scientist,Glassdoor,Other
4.0,700000,"['Python', 'Data_Analysis', 'Statistics', 'Machine_Learning', 'NLP']",Junior_Associate,Data_Scientist,Glassdoor,Gurgaon
3.1,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Gurgaon
3.9,1500000,"['Machine_Learning', 'NLP']",Intern,Data_Scientist,Employer,Gurgaon
3.5,1000000,"['Python', 'R', 'SQL', 'Machine_Learning']",Intern,Data_Scientist,Employer,Other
4.1,800000,"['Machine_Learning', 'Python', 'SQL']",Junior_Associate,Data_Analyst,Glassdoor,Bengaluru
3.9,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
2.9,700000,"['Machine_Learning', 'Deep_Learning', 'AI']",Intern,Data_Scientist,Glassdoor,Hyderabad
5.0,500000,"['Python', 'TensorFlow', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Other
3.7,700000,"['Machine_Learning', 'Python', 'SQL']",Senior,Data_Scientist,Glassdoor,Bengaluru
4.2,500000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.3,1200000,"['Python', 'TensorFlow', 'PyTorch', 'Machine_Learning', 'NLP', 'AI', 'Cloud_Platforms']",Intern,Data_Scientist,Employer,Remote
3.4,400000,"['Python', 'Machine_Learning', 'NLP']",Intern,Data_Scientist,Glassdoor,Pune
3.3,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.7,500000,"['Python', 'R', 'SQL', 'Statistics', 'Machine_Learning']",Intern,Data_Analyst,Glassdoor,Chennai
3.7,1000000,['Machine_Learning'],Intern,Data_Scientist,Glassdoor,Pune
4.2,700000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Analyst,Glassdoor,Bengaluru
4.5,3000000,"['Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Employer,Bengaluru
4.4,500000,"['Python', 'SQL', 'PyTorch', 'Statistics', 'Machine_Learning', 'Deep_Learning', 'AI']",Intern,Data_Scientist,Glassdoor,Gurgaon
3.1,400000,['Data_Analysis'],Junior_Associate,Data_Scientist,Glassdoor,Gurgaon
3.4,700000,"['Machine_Learning', 'Python', 'SQL']",Senior,Data_Scientist,Glassdoor,Chennai
4.1,400000,"['Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.1,1000000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,Bengaluru
4.1,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,700000,"['Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Employer,Bengaluru
4.0,400000,['Data_Analysis'],Intern,Data_Scientist,Glassdoor,Chennai
3.9,1000000,"['Python', 'R', 'SQL', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Employer,Chennai
4.3,800000,['Data_Analysis'],Intern,Data_Scientist,Employer,India
3.7,600000,['Data_Analysis'],Intern,Data_Scientist,Glassdoor,Other
3.6,500000,['Machine_Learning'],Staff_Principal,Data_Scientist,Glassdoor,Bengaluru
3.7,300000,"['Python', 'R', 'SQL', 'TensorFlow', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Employer,India
3.8,400000,['R'],Intern,Data_Scientist,Glassdoor,Bengaluru
4.1,400000,['Data_Analysis'],Junior_Associate,Data_Scientist,Glassdoor,Mumbai
3.7,1000000,['Machine_Learning'],Intern,Data_Scientist,Glassdoor,Bengaluru
3.5,500000,['Statistics'],Intern,Data_Scientist,Glassdoor,Bengaluru
4.3,900000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Gurgaon
3.8,300000,['Machine_Learning'],Intern,Data_Scientist,Glassdoor,Bengaluru
4.1,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.4,200000,"['Machine_Learning', 'Deep_Learning', 'NLP', 'AI']",Intern,Data_Scientist,Employer,Other
4.0,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,ML_Engineer,Glassdoor,Chennai
3.9,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,India
3.9,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Hyderabad
4.3,400000,"['Python', 'TensorFlow', 'PyTorch', 'Machine_Learning', 'Deep_Learning']",Intern,Data_Scientist,Glassdoor,Pune
3.8,400000,"['Data_Analysis', 'Statistics', 'Machine_Learning', 'Deep_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.0,700000,"['Python', 'Statistics']",Intern,Data_Scientist,Employer,Hyderabad
3.5,300000,"['Machine_Learning', 'Python', 'SQL']",Junior_Associate,Data_Scientist,Employer,Bengaluru
4.1,300000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,500000,"['Python', 'R', 'SQL', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,1000000,"['Machine_Learning', 'AI']",Intern,Data_Scientist,Employer,Ahmedabad
4.1,120000,"['Data_Analysis', 'Machine_Learning', 'Deep_Learning']",Intern,Data_Scientist,Glassdoor,Gurgaon
4.1,1000000,['Data_Analysis'],Senior,Data_Scientist,Glassdoor,Bengaluru
3.4,700000,['Statistics'],Intern,Data_Scientist,Glassdoor,Bengaluru
4.2,700000,"['Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Other
4.2,120000,"['Machine_Learning', 'Python', 'SQL']",Intern,ML_Engineer,Glassdoor,Bengaluru
3.9,1300000,"['Python', 'SQL', 'AI']",Intern,Data_Scientist,Employer,India
3.6,800000,"['Machine_Learning', 'AI']",Intern,Data_Scientist,Glassdoor,Remote
4.1,400000,"['Machine_Learning', 'Deep_Learning']",Intern,Data_Scientist,Glassdoor,Hyderabad
3.9,1080000,"['Machine_Learning', 'AI', 'Cloud_Platforms']",Senior,Data_Scientist,Employer,Remote
3.5,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Hyderabad
4.5,1000000,"['Python', 'AI']",Intern,Data_Scientist,Glassdoor,India
3.7,1000000,['AI'],Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,500000,"['Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,120000,['Python'],Intern,Data_Scientist,Employer,India
3.4,800000,"['Machine_Learning', 'Python', 'SQL']",Junior_Associate,Data_Scientist,Glassdoor,India
3.9,500000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.6,400000,['Machine_Learning'],Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,9000,"['Python', 'NLP', 'AI']",Intern,ML_Engineer,Employer,Remote
3.9,1800000,"['Python', 'R', 'Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Employer,Pune
4.2,700000,"['Python', 'R', 'SQL', 'Data_Analysis', 'Statistics', 'Machine_Learning', 'NLP', 'Cloud_Platforms']",Senior,Data_Scientist,Glassdoor,Gurgaon
4.1,600000,"['Machine_Learning', 'Python', 'SQL']",Senior,ML_Engineer,Glassdoor,Noida
3.9,600000,['R'],Intern,Data_Scientist,Glassdoor,Bengaluru
5.0,300000,['NLP'],Intern,Data_Analyst,Glassdoor,Other
4.0,900000,['Machine_Learning'],Senior,Data_Scientist,Glassdoor,Hyderabad
3.5,800000,"['Python', 'R', 'SQL', 'PyTorch', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.6,600000,"['Python', 'SQL', 'TensorFlow', 'PyTorch', 'Statistics', 'Machine_Learning', 'NLP']",Intern,Data_Scientist,Glassdoor,Gurgaon
