Rating,Size,Industry,Sector,Ownership,Revenue,min_salary,max_salary,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,3,5,4,6.0,0,0,0,0,0,0,data scientist,na
4.1,5001 - 10000 Employees,Machinery Manufacturing,Manufacturing,Company - Public,2000 - 5000 million ,3,8,5,48.0,0,0,0,1,0,0,data scientist,na
4.3,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,30,17,48.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,4,30,17,48.0,0,0,0,0,1,0,data scientist,na
4.1,201 - 500 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,4,30,17,48.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,30,17,48.0,0,0,0,0,0,0,data scientist,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,4,10,7,49.0,0,0,1,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,1,1,1,49.0,0,0,0,0,0,0,mle,na
3.8,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,4,8,6,47.0,0,1,0,0,0,0,data scientist,na
3.9,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,2000 - 5000 million ,4,9,6,42.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,8,18,13,42.0,0,0,0,0,0,0,data scientist,na
3.5,1001 - 5000 Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Subsidiary or Business Segment,2000 - 5000 million ,4,7,5,89.0,0,0,0,0,0,0,data scientist,na
