Rating,Size,Industry,Sector,Ownership,Revenue,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,25,15.0,1,0,0,0,0,0,data scientist,na
4.0,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,2000 - 5000 million ,3,12.0,0,0,0,1,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,12,98.0,1,1,0,0,0,0,data scientist,senior
4.5,10000+ Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,26.0,1,0,1,0,1,1,data scientist,na
4.0,1 - 50 Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,4,7.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,8,297.0,0,0,0,0,0,0,mle,na
4.8,10000+ Employees,Business consulting,Manufacturing,Company - Public,10000+ million ,17,26.0,1,0,0,0,0,0,mle,na
3.8,1 - 50 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,5,7.0,0,0,0,0,0,1,data scientist,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,7,49.0,0,0,1,1,1,0,na,senior
3.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,5,43.0,1,0,0,0,0,1,data scientist,na
2.9,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,5.0,0,0,0,0,0,0,data scientist,na
4.0,51 - 200 Employees,Software Development,Information Technology,Company - Private,1 - 5 million ,6,6.0,1,0,0,0,0,0,data scientist,senior
3.7,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,20,15.0,1,0,0,0,1,1,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,9,225.0,1,1,1,0,1,0,data scientist,na
3.8,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,6,47.0,0,0,0,0,0,0,data scientist,na
4.1,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,8,9.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,6,49.0,0,0,0,0,0,0,data scientist,na
3.9,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,2000 - 5000 million ,6,27.0,0,0,0,0,0,0,data scientist,na
3.6,501 - 1000 Employees,Computer Hardware Development,Information Technology,Company - Private,100 - 500 million ,5,25.0,0,0,0,0,0,0,na,senior
3.9,10000+ Employees,Electronics Manufacturing,Manufacturing,Company - Public,10000+ million ,7,134.0,0,0,0,0,0,0,na,na
3.4,51 - 200 Employees,Internet & Web Services,Information Technology,Company - Private,10000+ million ,5,6.0,0,0,0,0,0,0,data scientist,na
3.8,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,4,28.0,0,0,0,0,0,0,mle,senior
5.0,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,5,26.0,0,0,0,0,0,0,data scientist,na
3.7,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,9,14.0,0,0,0,0,0,0,data scientist,na
3.9,1 - 50 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,5,85.0,0,0,0,0,0,0,data scientist,senior
3.4,201 - 500 Employees,Internet & Web Services,Information Technology,Company - Private,25 - 50 million ,6,12.0,0,0,0,0,0,0,data scientist,senior
4.4,201 - 500 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Public,100 - 500 million ,17,12.0,0,0,0,1,0,0,na,senior
3.4,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,5,24.0,0,0,0,1,0,0,data scientist,na
4.0,1 - 50 Employees,HR Consulting,Human resources and staffing,Company - Private,10000+ million ,27,7.0,1,0,0,0,0,0,data scientist,senior
4.8,1 - 50 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,5 - 25 million ,5,10.0,0,0,0,0,0,0,data scientist,na
